Date,Open,Close price,Max,Min
2013-01-31,19382.82,19368.02,19456.97,19269.67
2012-12-31,18160.58,18173.2,18203.38,17995.56
2012-11-30,17922.89,18265.23,18265.23,17895.28
2012-10-31,19202.66,19220.49,19238.33,19116.01
2012-09-30,18734.76,18588.65,18774.21,18447.67
2012-08-31,17273.99,17513.82,17513.82,17273.99
2012-07-31,17585.61,17408.02,17595.32,17374.16
2012-06-30,17175.77,17341.07,17341.07,17055.7
2012-05-31,16137.58,16099.82,16392.93,16000.78
2012-04-30,18081.67,18235.03,18235.03,17972.88
2012-03-31,18737.26,18635.67,18754.47,18541.81
2012-02-29,19290.25,19286.54,19432.0,19214.54
2012-01-31,19198.82,18891.07,19386.59,18891.07
2011-12-31,17246.16,16974.24,17266.78,16821.92
2011-11-30,16884.07,17634.68,17634.68,16773.34
2011-10-31,18123.01,17600.07,18209.44,17600.07
2011-09-30,15764.09,15775.1,15792.17,15450.43
2011-08-31,18258.4,18471.25,18471.25,18005.1
2011-07-31,21233.34,21617.93,21617.93,21006.09
2011-06-30,22769.86,22693.74,22798.91,22540.97
2011-05-31,22856.88,23376.19,23376.19,22785.02
2011-04-30,24156.38,24161.56,24200.74,24031.97
2011-03-31,22969.42,23059.77,23139.4,22945.77
2011-02-28,23103.37,23155.5,23291.9,23063.87
2011-01-31,22743.18,22709.35,22828.39,22498.86
2010-12-31,21302.96,21327.07,21443.7,21296.64
2010-11-30,20422.46,20639.64,20809.53,20325.74
2010-10-31,23076.89,23146.69,23146.69,22855.24
2010-09-30,22758.79,23239.93,23239.93,22680.87
2010-08-31,21672.12,22561.54,22561.54,21605.27
2010-07-31,22643.78,22265.63,22675.16,22200.26
2010-06-30,20514.75,21050.43,21219.97,20514.75
2010-05-31,21974.01,22103.42,22216.24,21848.42
2010-04-30,24991.92,24764.76,24991.92,24587.96
2010-03-31,24170.33,24245.55,24305.83,23966.2
2010-02-28,20776.23,21267.81,21267.81,20655.25
2010-01-31,21500.84,21831.46,21831.46,21256.21
2009-12-31,21435.28,21227.01,21445.97,21152.19
2009-11-30,20553.03,20806.9,20806.9,20389.38
2009-10-31,21024.76,20572.73,21186.53,20534.29
2009-09-30,20474.54,20226.28,20653.74,20153.08
2009-08-31,19244.12,19389.94,19393.12,19020.34
2009-07-31,17090.53,17280.05,17337.09,16905.98
2009-06-30,15894.37,15320.14,16037.64,15316.23
2009-05-31,15846.88,14937.0,15900.05,14937.0
2009-04-30,13013.02,12872.14,13155.43,12798.74
2009-03-31,10873.9,11071.85,11287.1,10873.9
2009-02-28,10360.43,10190.15,10454.78,10151.33
2009-01-31,11662.91,11516.11,11692.43,11466.22
2008-12-31,12366.97,12241.69,12404.33,12186.88
2008-11-30,12201.21,12694.74,12694.74,12201.21
2008-10-31,13540.46,13505.7,13573.12,13241.33
2008-09-30,17929.07,18868.9,18906.89,17843.58
2008-08-31,20654.11,21007.22,21007.22,20543.38
2008-07-31,22443.79,22209.14,22443.79,22033.66
2008-06-30,20334.44,20387.52,20434.92,20225.73
2008-05-31,22834.45,22580.48,22958.41,22580.48
2008-04-30,22419.0,22593.37,22593.37,22213.46
2008-03-31,21999.64,21710.52,22051.89,21338.24
2008-02-29,23632.44,23501.61,23711.86,23142.63
2008-01-31,23640.66,23475.45,23811.35,23187.18
2007-12-31,25932.33,26235.63,26239.1,25932.33
2007-11-30,25552.02,25758.44,25917.68,25428.67
2007-10-31,27329.81,27382.17,27559.22,27329.81
2007-09-30,28332.5,28413.12,28703.74,28243.95
2007-08-31,27192.28,27404.17,27404.17,27017.07
2007-07-31,29116.03,29264.9,29310.79,29071.69
2007-06-30,28723.82,28929.73,28944.26,28614.26
2007-05-31,26211.83,26706.18,26751.28,26125.18
2007-04-30,25432.72,25424.8,25600.31,25289.96
2007-03-31,23486.23,23423.2,23676.27,23423.2
2007-02-28,23081.36,23371.22,23448.89,23041.38
2007-01-31,23881.07,24059.38,24112.52,23796.23
2006-12-31,24764.18,24844.32,24934.94,24697.7
2006-11-30,23246.65,22880.67,23351.87,22740.61
2006-10-31,22362.85,22391.43,22490.45,22339.35
2006-09-30,21958.66,21755.03,21984.58,21641.02
2006-08-31,22332.01,22130.87,22519.58,22130.87
2006-07-31,22292.32,22594.29,22635.54,22279.98
2006-06-30,21042.65,21407.03,21539.16,20970.9
2006-05-31,21079.68,21244.18,21988.62,21007.59
